country_code	reg_code	name	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
840	53033	King	73.8018	74.2663	74.8606	74.2774	74.3413	74.7191	75.1022	75.2408	76.3296	76.4127	76.4861	77.0488	77.4409	78.0058	77.8236	78.2362	78.4461	78.7095	78.6776	79.1158	79.694	79.4218	79.6197	79.1928	79.6111	79.5448	80.0204	79.6633	79.9598	79.8552	79.873	79.2036	78.4397	78.3644
840	53035	Kitsap	75.2323	75.2323	74.5268	75.1969	75.8671	76.0062	75.6221	75.1753	75.9297	75.544	76.388	76.4533	76.1306	77.0224	77.1261	77.3125	78.0963	78.995	77.3297	77.4823	77.4659	77.7015	78.2661	78.5204	78.858	77.7689	78.3009	78.6193	78.3326	78.663	78.5893	77.7386	76.6377	78.6362
840	53037	Kittitas	76.2438	76.2438	76.2438	76.2438	76.2438	76.2438	76.2438	76.2438	76.2438	76.4524	76.661	76.8696	77.0781	77.2867	77.4953	77.7039	77.9125	78.1211	78.3297	78.5382	78.7468	78.9554	79.5153	79.0367	78.5581	79.1413	79.7244	80.3076	79.6167	78.9258	78.2811	80.1404	77.2744	77.2071
840	53039	Klickitat	72.0536	72.0536	72.0536	72.6937	73.3339	73.2549	73.176	73.097	77.2972	76.0536	74.8101	73.5666	72.3231	76.9901	79.0682	78.2976	77.527	78.6331	79.8888	81.1445	79.5874	78.0302	76.4731	77.559	78.6448	79.8071	80.9694	76.7396	77.688	78.6365	77.4923	78.5677	78.5677	78.5677
840	53041	Lewis	73.0243	73.0243	72.0241	71.8882	71.7524	73.9796	72.7074	74.7515	72.453	72.3596	74.668	74.8387	75.0094	75.1802	74.7225	75.5565	76.3904	77.2244	76.7204	77.0018	77.2832	75.3192	75.9428	75.8472	77.1248	76.8231	75.4176	75.3072	75.8635	74.4447	75.2527	74.0766	72.5074	72.8684
840	53043	Lincoln	77.8846	77.8846	75.8252	73.7659	78.7318	75.8709	76.3921	76.9133	77.6506	78.3879	76.6108	74.8336	73.0564	75.6446	74.5571	73.4696	77.5888	77.4506	77.1518	74.5247	75.6616	76.7985	77.9354	78.2863	78.6373	78.1703	77.7034	77.2364	77.2364	77.2364	77.2364	77.2364	77.2364	77.2364
840	53045	Mason	73.9793	75.7215	72.2325	74.1896	73.4834	73.7208	73.9582	74.1956	74.433	74.6704	74.9078	75.1452	75.3826	75.62	75.8574	74.7067	75.8166	75.7685	76.0104	76.2523	76.5573	77.1979	75.1352	75.7709	76.4067	77.0424	75.7344	78.0378	77.0918	77.1953	77.1953	77.1953	77.1953	77.1953
840	53047	Okanogan	71.9078	72.2838	72.6598	73.2247	72.708	73.0477	73.3874	73.7272	73.5133	73.2995	73.0857	72.8718	72.658	72.4442	72.5822	72.7202	76.4968	75.9429	75.3891	74.8353	73.6707	74.8789	76.0871	77.2953	78.6286	76.859	75.0894	77.2605	76.0647	76.0647	76.0647	76.0647	76.0647	76.0647
840	53049	Pacific	74.7709	74.7709	74.7709	74.7709	74.7709	74.7709	74.7709	72.0138	72.1979	72.382	72.5661	72.7501	72.9342	73.562	74.1899	74.8177	75.4455	72.7454	70.0452	73.4691	74.5472	74.8445	75.402	74.2133	74.8467	77.5556	76.6024	75.6491	74.5105	73.3718	72.2331	71.0944	69.9557	69.9557
840	53051	Pend Oreille	71.3964	71.3964	71.3964	71.6363	71.8761	72.116	72.3558	76.0221	73.9573	71.8926	72.4784	73.0642	73.65	74.2358	74.2999	74.364	74.4281	74.4922	74.5562	74.6203	75.2318	71.9553	74.4674	76.9796	79.4917	77.9951	76.4985	75.0019	73.5053	73.5053	73.5053	73.5053	73.5053	73.5053
