country_code	reg_code	name	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
840	53033	King	1.76317566489667	1.75508445551264	1.75215139211093	1.72585496161285	1.68580347516192	1.66092300630604	1.63230035311004	1.63695279850586	1.65546143997182	1.67639744425299	1.63422201533875	1.6510112748106	1.60205945803724	1.60640848308116	1.65212381610091	1.6796339280066	1.65637170102752	1.74911718859192	1.7718737149845	1.76246768407557	1.73313705005847	1.66203554759634	1.65495573938532	1.65252837657011	1.60003665569124	1.57090830190874	1.54349933012035	1.50294214308292	1.43972956977021	1.35841291546075	1.3150238051389	1.25454201499331	1.26010472144482	1.20215143423173
840	53035	Kitsap	2.3807	2.4887	2.5194	2.5047	2.2371	2.3557	2.3134	2.3025	2.2619	2.1223	2.113	2.1112	2.0739	2.0566	2.02	2.0759	2.0297	2.0019	1.9321	2.0398	1.9423	1.998	1.9573	1.9907	1.8421	1.9144	1.934	1.9157	1.8181	1.7624	1.7089	1.5666	1.619	1.6427
840	53037	Kittitas	1.73585566671365	1.67880367466845	1.63986514777828	1.60179433179375	1.48769034770335	1.41567034253602	1.5347636643338	1.52077182598051	1.61828083900073	1.57988463142658	1.65157924500429	1.74431584804354	1.53226899548011	1.45471733328939	1.63107957485877	1.52283263938138	1.41371799299836	1.57782381802571	1.6946393986962	1.56198809399795	1.72273153926599	1.75548762595354	1.63075418326916	1.72294846699239	1.56871285351659	1.64517987707527	1.65081999796187	1.71839298473784	1.62511406238257	1.59713038567598	1.53747526091389	1.44181013356814	1.58791095730366	1.67077734879137
840	53039	Klickitat	2.81	2.5612	2.7311	2.6001	2.501	2.5605	2.5148	2.4875	2.5128	2.641	2.491	2.61	2.2713	2.7204	2.3677	2.3259	2.2618	2.322	2.4162	2.2461	2.3456	2.5409	2.2144	2.1807	1.9582	2.1476	2.0335	1.8794	2.1518	1.9721	1.8126	1.8178	1.815	1.8597
840	53041	Lewis	2.5501	2.3597	2.4362	2.2088	2.2099	2.2968	2.3746	2.3449	2.322	2.4305	2.4239	2.2924	2.1653	2.2918	2.0753	2.2248	2.1273	2.2728	2.1961	2.2914	2.273	2.2452	2.0549	2.0357	1.9934	2.0466	2.1222	2.2214	1.9899	2.0395	2.145	1.9339	2.0356	2.1615
840	53043	Lincoln	2.6852	2.0392	2.5955	2.7025	3.1096	2.2355	2.1961	2.5773	2.9375	2.735	2.515	2.6021	2.1741	2.1503	2.1638	2.6304	2.2381	2.8081	2.4674	2.3852	2.173	2.3983	2.3942	2.2499	2.3075	2.1688	2.3951	2.2567	2.4669	2.2046	1.9459	2.3719	2.1135	2.327
840	53045	Mason	2.2595	2.4175	2.3545	2.3384	2.2538	2.5186	2.3345	2.3587	2.2444	2.3796	2.3566	2.2311	2.2367	2.1417	2.2261	2.1249	2.2562	2.1672	2.224	2.1794	2.2925	2.0069	2.1269	2.2476	1.9805	1.9475	2.0291	2.0851	2.0253	1.9157	2.0355	1.9248	1.9315	2.0291
840	53047	Okanogan	2.8429	2.809	2.8975	2.7376	2.9196	2.5726	2.558	2.6601	2.6361	2.6222	2.764	2.3712	2.4348	2.1506	2.4416	2.5439	2.5071	2.7942	2.7189	2.6163	2.9408	2.7913	2.7795	2.639	2.5525	2.5219	2.4499	2.5861	2.5324	2.3568	2.415	2.1533	2.2111	2.5422
840	53049	Pacific	2.4953	2.5363	2.216	2.5902	2.6036	2.3226	2.4996	2.5668	2.5261	2.2898	2.0555	2.4615	2.2577	2.0546	2.2936	2.4566	2.5442	2.1077	2.7374	2.2827	2.1855	2.2625	2.4514	2.1632	2.0212	2.311	2.2022	2.4305	1.9522	1.8336	1.7556	1.821	1.6467	1.5246
840	53051	Pend Oreille	3.4331	3.1181	2.8559	2.9329	3.0808	2.946	2.8785	2.318	2.3798	2.7835	2.6313	2.1206	2.5913	2.1913	2.2832	2.2294	2.449	2.6467	2.8885	2.4565	2.8329	2.1388	1.858	2.411	2.1116	2.4039	2.3347	2.3172	2.3304	2.2195	2.3771	1.8467	2.0325	1.795
