reg_code	name	age	GQ
53025	Grant	42	0
53025	Grant	43	0
53025	Grant	44	2
53025	Grant	45	0
53025	Grant	46	0
53025	Grant	47	0
53025	Grant	48	0
53025	Grant	49	2
53025	Grant	50	3
53025	Grant	51	3
53025	Grant	52	0
53025	Grant	53	0
53025	Grant	54	0
53025	Grant	55	3
53025	Grant	56	0
53025	Grant	57	0
53025	Grant	58	0
53025	Grant	59	0
53025	Grant	60	0
53025	Grant	61	0
53025	Grant	62	1
53025	Grant	63	1
53025	Grant	64	1
53025	Grant	65	0
53025	Grant	66	0
53025	Grant	67	0
53025	Grant	68	0
53025	Grant	69	0
53025	Grant	70	0
53025	Grant	71	0
53025	Grant	72	0
53025	Grant	73	0
53025	Grant	74	0
53025	Grant	75	0
53025	Grant	76	0
53025	Grant	77	0
53025	Grant	78	0
53025	Grant	79	0
53025	Grant	80	0
53025	Grant	81	0
53025	Grant	82	0
53025	Grant	83	0
53025	Grant	84	0
53025	Grant	85	0
53025	Grant	86	0
53025	Grant	87	0
53025	Grant	88	0
53025	Grant	89	0
53025	Grant	90	0
53025	Grant	91	0
53025	Grant	92	0
53025	Grant	93	0
53025	Grant	94	0
53025	Grant	95	0
53025	Grant	96	0
53025	Grant	97	0
53025	Grant	98	0
53025	Grant	99	0
53025	Grant	100	0
53031	Jefferson	0	0
53031	Jefferson	1	0
53031	Jefferson	2	0
53031	Jefferson	3	0
53031	Jefferson	4	0
53031	Jefferson	5	0
53031	Jefferson	6	0
53031	Jefferson	7	0
53031	Jefferson	8	0
53031	Jefferson	9	0
53031	Jefferson	10	0
53031	Jefferson	11	0
53031	Jefferson	12	0
53031	Jefferson	13	0
53031	Jefferson	14	0
53031	Jefferson	15	0
53031	Jefferson	16	0
53031	Jefferson	17	0
53031	Jefferson	18	0
53031	Jefferson	19	0
53031	Jefferson	20	0
53031	Jefferson	21	0
53031	Jefferson	22	0
53031	Jefferson	23	0
53031	Jefferson	24	0
53031	Jefferson	25	0
53031	Jefferson	26	0
53031	Jefferson	27	0
53031	Jefferson	28	1
53031	Jefferson	29	1
53031	Jefferson	30	0
53031	Jefferson	31	0
53031	Jefferson	32	0
53031	Jefferson	33	0
53031	Jefferson	34	0
53031	Jefferson	35	0
53031	Jefferson	36	1
53031	Jefferson	37	1
53031	Jefferson	38	1
53031	Jefferson	39	0
53031	Jefferson	40	0
53031	Jefferson	41	0
53031	Jefferson	42	0
53031	Jefferson	43	0
53031	Jefferson	44	0
53031	Jefferson	45	0
53031	Jefferson	46	0
53031	Jefferson	47	0
53031	Jefferson	48	1
53031	Jefferson	49	1
53031	Jefferson	50	0
53031	Jefferson	51	0
53031	Jefferson	52	0
53031	Jefferson	53	0
53031	Jefferson	54	0
53031	Jefferson	55	0
53031	Jefferson	56	0
53031	Jefferson	57	0
53031	Jefferson	58	0
53031	Jefferson	59	0
53031	Jefferson	60	0
53031	Jefferson	61	0
53031	Jefferson	62	0
53031	Jefferson	63	0
53031	Jefferson	64	0
53031	Jefferson	65	0
53031	Jefferson	66	0
53031	Jefferson	67	0
53031	Jefferson	68	0
53031	Jefferson	69	0
53031	Jefferson	70	0
53031	Jefferson	71	0
53031	Jefferson	72	0
53031	Jefferson	73	0
53031	Jefferson	74	0
53031	Jefferson	75	0
53031	Jefferson	76	0
53031	Jefferson	77	0
53031	Jefferson	78	0
53031	Jefferson	79	0
53031	Jefferson	80	0
53031	Jefferson	81	0
53031	Jefferson	82	0
53031	Jefferson	83	0
53031	Jefferson	84	0
53031	Jefferson	85	0
53031	Jefferson	86	0
53031	Jefferson	87	0
53031	Jefferson	88	0
53031	Jefferson	89	0
53031	Jefferson	90	0
53031	Jefferson	91	0
53031	Jefferson	92	0
53031	Jefferson	93	0
53031	Jefferson	94	0
53031	Jefferson	95	0
53031	Jefferson	96	0
53031	Jefferson	97	0
53031	Jefferson	98	0
53031	Jefferson	99	0
53031	Jefferson	100	0
53033	King	0	7
53033	King	1	1
53033	King	2	0
53033	King	3	0
53033	King	4	0
53033	King	5	1
53033	King	6	0
53033	King	7	2
53033	King	8	0
53033	King	9	0
53033	King	10	0
53033	King	11	0
53033	King	12	0
53033	King	13	3
53033	King	14	7
53033	King	15	832
53033	King	16	1168
53033	King	17	1381
53033	King	18	1472
53033	King	19	1439
53033	King	20	1254
53033	King	21	987
53033	King	22	692
53033	King	23	380
53033	King	24	92
53033	King	25	8
53033	King	26	0
53033	King	27	0
53033	King	28	28
53033	King	29	77
53033	King	30	33
53033	King	31	13
53033	King	32	0
53033	King	33	0
53033	King	34	0
53033	King	35	14
53033	King	36	0
53033	King	37	1
53033	King	38	2
53033	King	39	0
53033	King	40	0
53033	King	41	0
53033	King	42	0
53033	King	43	1
53033	King	44	9
53033	King	45	0
53033	King	46	0
53033	King	47	0
53033	King	48	1
53033	King	49	7
53033	King	50	3
53033	King	51	1
53033	King	52	0
53033	King	53	0
53033	King	54	0
53033	King	55	0
53033	King	56	0
53033	King	57	2
53033	King	58	1
53033	King	59	5
53033	King	60	4
53033	King	61	2
53033	King	62	0
53033	King	63	0
53033	King	64	0
53033	King	65	0
53033	King	66	0
53033	King	67	0
53033	King	68	0
53033	King	69	0
53033	King	70	0
53033	King	71	0
53033	King	72	0
53033	King	73	0
53033	King	74	0
53033	King	75	0
53033	King	76	0
53033	King	77	0
53033	King	78	0
53033	King	79	0
53033	King	80	0
53033	King	81	0
53033	King	82	0
53033	King	83	0
53033	King	84	0
53033	King	85	0
53033	King	86	0
53033	King	87	0
53033	King	88	0
53033	King	89	0
53033	King	90	0
53033	King	91	0
53033	King	92	0
53033	King	93	0
53033	King	94	0
53033	King	95	0
53033	King	96	0
53033	King	97	0
53033	King	98	0
53033	King	99	0
53033	King	100	0
53035	Kitsap	0	0
53035	Kitsap	1	0
53035	Kitsap	2	0
53035	Kitsap	3	0
53035	Kitsap	4	0
53035	Kitsap	5	0
53035	Kitsap	6	0
53035	Kitsap	7	0
53035	Kitsap	8	0
53035	Kitsap	9	0
53035	Kitsap	10	0
53035	Kitsap	11	0
53035	Kitsap	12	0
53035	Kitsap	13	0
53035	Kitsap	14	0
53035	Kitsap	15	0
53035	Kitsap	16	6
53035	Kitsap	17	47
53035	Kitsap	18	109
53035	Kitsap	19	198
53035	Kitsap	20	309
53035	Kitsap	21	385
53035	Kitsap	22	421
53035	Kitsap	23	420
53035	Kitsap	24	381
53035	Kitsap	25	318
53035	Kitsap	26	251
53035	Kitsap	27	192
53035	Kitsap	28	138
53035	Kitsap	29	91
53035	Kitsap	30	14
53035	Kitsap	31	2
53035	Kitsap	32	0
53035	Kitsap	33	0
53035	Kitsap	34	0
53035	Kitsap	35	0
53035	Kitsap	36	0
53035	Kitsap	37	4
53035	Kitsap	38	3
53035	Kitsap	39	0
53035	Kitsap	40	0
53035	Kitsap	41	0
53035	Kitsap	42	0
53035	Kitsap	43	0
53035	Kitsap	44	13
53035	Kitsap	45	0
53035	Kitsap	46	0
53035	Kitsap	47	0
53035	Kitsap	48	3
53035	Kitsap	49	3
53035	Kitsap	50	1
53035	Kitsap	51	0
53035	Kitsap	52	0
53035	Kitsap	53	0
53035	Kitsap	54	0
53035	Kitsap	55	0
53035	Kitsap	56	0
53035	Kitsap	57	0
53035	Kitsap	58	0
53035	Kitsap	59	0
53035	Kitsap	60	0
53035	Kitsap	61	0
53035	Kitsap	62	0
53035	Kitsap	63	1
53035	Kitsap	64	0
53035	Kitsap	65	0
53035	Kitsap	66	0
53035	Kitsap	67	0
53035	Kitsap	68	0
53035	Kitsap	69	0
53035	Kitsap	70	0
53035	Kitsap	71	0
53035	Kitsap	72	0
53035	Kitsap	73	0
53035	Kitsap	74	0
53035	Kitsap	75	0
53035	Kitsap	76	0
53035	Kitsap	77	0
53035	Kitsap	78	0
53035	Kitsap	79	0
53035	Kitsap	80	0
53035	Kitsap	81	0
53035	Kitsap	82	0
53035	Kitsap	83	0
53035	Kitsap	84	0
53035	Kitsap	85	0
53035	Kitsap	86	0
53035	Kitsap	87	0
53035	Kitsap	88	0
53035	Kitsap	89	0
53035	Kitsap	90	0
53035	Kitsap	91	0
53035	Kitsap	92	0
53035	Kitsap	93	0
53035	Kitsap	94	0
53035	Kitsap	95	0
53035	Kitsap	96	0
53035	Kitsap	97	0
53035	Kitsap	98	0
53035	Kitsap	99	0
53035	Kitsap	100	0
53037	Kittitas	0	0
53037	Kittitas	1	0
53037	Kittitas	2	0
53037	Kittitas	3	0
53037	Kittitas	4	0
53037	Kittitas	5	0
53037	Kittitas	6	0
53037	Kittitas	7	0
53037	Kittitas	8	0
53037	Kittitas	9	0
53037	Kittitas	10	0
53037	Kittitas	11	0
53037	Kittitas	12	0
53037	Kittitas	13	0
53037	Kittitas	14	0
53037	Kittitas	15	24
53037	Kittitas	16	36
53037	Kittitas	17	46
53037	Kittitas	18	404
53037	Kittitas	19	831
53037	Kittitas	20	791
53037	Kittitas	21	647
53037	Kittitas	22	457
53037	Kittitas	23	274
53037	Kittitas	24	135
53037	Kittitas	25	146
53037	Kittitas	26	146
53037	Kittitas	27	137
53037	Kittitas	28	116
53037	Kittitas	29	82
53037	Kittitas	30	0
53037	Kittitas	31	0
53037	Kittitas	32	0
53037	Kittitas	33	0
53037	Kittitas	34	0
53037	Kittitas	35	0
53037	Kittitas	36	0
53037	Kittitas	37	0
53037	Kittitas	38	1
53037	Kittitas	39	3
53037	Kittitas	40	0
53037	Kittitas	41	0
53037	Kittitas	42	0
53037	Kittitas	43	0
53037	Kittitas	44	0
53037	Kittitas	45	0
53037	Kittitas	46	0
53037	Kittitas	47	0
53037	Kittitas	48	0
53037	Kittitas	49	0
53037	Kittitas	50	0
53037	Kittitas	51	0
53037	Kittitas	52	0
53037	Kittitas	53	0
53037	Kittitas	54	0
53037	Kittitas	55	0
53037	Kittitas	56	0
53037	Kittitas	57	0
53037	Kittitas	58	0
53037	Kittitas	59	0
53037	Kittitas	60	0
53037	Kittitas	61	0
53037	Kittitas	62	0
53037	Kittitas	63	0
