name	country_code	reg_code	location_type	1960	1961	1962	1963	1964	1965	1966	1967	1968	1969	1970	1971	1972	1973	1974	1975	1976	1977	1978	1979	1980	1981	1982	1983	1984	1985	1986	1987	1988	1989	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
Franklin	53	53021	4	-243	49	-468	-87	-218	-93	552	147	264	-605	-83	518	104	-68	-660	1860	489	1492	1082	338	8	273	-621	-421	-939	-723	-216	-238	-200	-279	368	-147	302	486	507	440	743	571	680	646	347	929	1690	2632	2900	2594	1989	1324	1556	1752	996	619	495	1025	-779	177	276	1418	1047	913	680	520	463	299
Garfield	53	53023	4	-105	-41	-212	-29	96	0	91	-25	-117	112	163	106	-190	-212	-25	99	-18	-210	-120	-143	-17	-50	2	-13	-25	-21	-60	0	-63	8	17	14	8	55	43	29	24	23	22	27	-9	-2	-12	-14	3	3	-9	-3	2	3	2	9	15	-7	20	-14	-12	15	17	10	26	8	6	40
Grant	53	53025	4	-1549	-745	-3315	-1724	-251	967	-3224	-820	-3301	1469	165	-424	-804	-402	595	1413	412	-186	336	512	-615	-343	495	148	-330	165	-230	-112	-149	1623	643	845	1187	1535	1765	1642	1111	1335	1340	1106	299	257	-250	626	276	737	1018	1216	722	358	-310	-292	-139	-117	36	-123	79	1190	722	684	1150	581	975	1464
Grays Harbor	53	53027	4	-21	41	-283	-38	97	440	1254	254	-363	-9	33	-868	-779	825	283	-408	852	1335	800	1333	-500	-1325	-606	-875	-1273	-1503	-179	343	404	20	-69	54	109	390	252	186	255	-55	58	380	1536	585	137	600	705	642	325	171	191	139	32	193	199	236	37	211	312	658	900	713	688	832	1066	755
Island	53	53029	4	206	104	-305	127	274	376	789	383	301	870	-96	1741	1713	1292	1050	1174	824	3217	502	1333	933	583	519	135	908	847	946	1414	1618	3092	1349	509	335	266	693	457	710	583	715	499	110	736	117	581	997	855	697	-65	-50	-572	426	422	-21	462	671	849	1187	811	698	941	359	710	620	631
Jefferson	53	53031	4	68	-210	24	40	-153	140	272	364	-530	423	-82	6	87	575	486	512	438	1037	811	1085	684	179	-123	483	339	388	201	549	546	751	724	731	673	674	674	511	565	430	642	496	425	525	296	476	718	574	483	491	287	210	472	385	297	518	450	632	475	530	582	517	405	528	357	587
King	53	53033	4	4508	6775	241	4891	14816	15768	42130	42205	737	-12371	-17133	-11510	-4456	1888	155	-3486	6612	18222	30938	34424	23828	7456	-10357	7939	13630	9691	14400	18179	23517	31955	30203	8492	8088	7875	4995	4693	9131	16567	15253	14718	7632	11740	53	1825	2700	18657	12904	6936	4619	8468	1961	-1604	14135	24793	28376	44038	18694	25411	29249	31376	8744	22424	23028	22973
Kitsap	53	53035	4	335	303	-184	-66	927	1140	1169	2248	6101	-2162	-2611	-1180	806	4301	9491	4689	5781	2232	4901	8017	7007	-603	2710	719	3571	-3021	2964	5747	2136	4716	5103	3073	3725	2650	3945	1760	1713	298	1106	1058	674	1614	1563	228	-2174	3014	2208	1463	157	-1021	-1700	1455	-683	1925	2213	3514	927	3228	2302	2667	1803	3135	1870	2736
Kittitas	53	53037	4	210	50	310	136	309	314	672	886	-94	214	250	-339	-787	-181	127	294	-212	-310	-308	179	117	-131	25	-89	-45	-212	81	344	71	585	362	374	522	565	767	497	547	739	998	310	427	491	870	1177	765	438	833	847	459	39	211	10	-95	545	174	787	555	358	705	1234	-1244	1969	49	1394
Klickitat	53	53039	4	-368	-180	-358	-346	-125	-526	5	-55	-158	-437	417	-74	4	12	520	80	268	493	459	485	241	-151	-54	-83	53	-464	-224	-32	107	301	65	-15	135	157	246	239	248	233	223	220	41	38	13	127	62	174	79	63	-11	17	135	144	81	210	149	227	340	262	359	300	305	236	146	223
Lewis	53	53041	4	127	-96	-287	-256	349	310	588	986	198	-408	524	-10	398	281	995	121	760	929	1593	2039	-402	-415	-546	393	-461	-77	128	396	425	615	356	412	687	780	1177	1044	949	787	521	591	641	655	118	676	624	1153	745	632	172	-3	722	422	183	550	393	528	866	840	954	973	727	971	824	1007
Lincoln	53	53043	4	-320	-215	-264	-269	-147	-124	-8	-23	-320	-128	25	-21	4	-90	-17	76	-33	-12	-12	-56	-73	-101	-180	-77	-67	-306	-29	17	-4	-52	88	33	77	118	167	160	158	201	189	174	154	-21	-106	165	74	104	90	102	30	-29	51	31	-21	9	37	26	82	88	98	57	39	195	93	197
Mason	53	53045	4	53	471	-39	83	265	471	630	403	519	572	-30	-271	190	908	1314	1430	879	1370	1484	1700	698	529	633	1049	-92	408	470	563	620	491	960	969	1070	1152	1084	1110	1039	983	972	926	546	973	905	1230	1492	1440	1822	1415	623	331	550	366	256	433	232	622	768	834	506	699	145	722	954	662
Okanogan	53	53047	4	-356	-378	-585	-191	-74	-212	73	274	-598	636	294	-85	-455	79	332	627	520	584	657	395	184	198	311	-4	-230	-331	-156	-4	30	96	239	290	392	465	761	586	537	222	291	288	110	20	-35	25	-42	215	-451	-32	228	-57	-16	-88	-60	57	-19	163	-34	51	50	99	318	536	359	326
Pacific	53	53049	4	-254	161	126	-206	-30	257	-485	281	495	472	-226	-185	120	197	86	271	174	371	160	265	376	36	108	29	-187	-86	81	466	242	498	176	260	233	298	301	301	278	285	238	270	73	56	-89	100	91	289	-17	46	225	149	308	303	312	347	304	390	317	439	394	580	218	464	414	415
Pend Oreille	53	53051	4	-287	42	-364	-255	-275	13	-135	-118	-4	-2	147	149	251	354	460	148	141	242	17	88	12	-94	44	9	-68	-47	-4	-13	-45	73	183	146	237	245	298	271	256	290	267	267	187	84	124	97	169	113	230	151	119	44	103	85	37	47	28	62	76	87	114	110	154	271	230	210
Pierce	53	53053	4	2372	2966	280	1874	5069	6042	11319	10984	9699	-4035	6040	-23460	-5425	10275	4619	5504	1514	13800	9481	11500	11044	-2154	894	2503	3819	802	4435	6405	9639	6735	5640	6362	7289	7685	7497	-606	6132	6648	8379	7086	3535	7190	6208	7053	8341	11956	7068	1790	-3280	-7420	6020	2175	3660	6146	5465	12151	10430	9233	9842	10403	4405	6740	6216	4008
San Juan	53	53055	4	43	11	103	9	120	6	308	215	11	268	265	506	409	410	6	298	405	572	564	527	228	224	170	215	113	193	61	186	163	368	729	584	656	368	321	79	110	83	455	594	339	282	142	188	250	203	133	165	121	78	179	163	265	212	216	278	228	323	329	342	113	360	233	222
Skagit	53	53057	4	-605	-144	-893	-684	-196	62	550	405	-855	85	26	-979	-8	1149	478	964	617	1558	1970	3382	370	1321	1121	-140	394	1102	87	1643	1790	3488	2799	1643	2020	2131	1989	1635	1752	1333	1196	2158	793	1175	446	1551	997	1702	1243	975	765	-145	335	353	537	611	724	989	1026	1997	2033	1344	502	1392	776	1422
Skamania	53	53059	4	-79	11	27	-38	43	-257	173	175	-30	99	28	158	-66	249	-141	-139	527	47	422	427	-181	-49	8	-77	-85	-45	61	-23	40	31	206	37	89	143	127	161	154	134	124	82	39	59	26	125	232	236	79	-4	14	56	10	36	-9	3	15	35	83	67	94	102	160	175	114	147
Snohomish	53	53061	4	5062	5829	4287	5180	7308	7781	11273	11048	15336	-4939	-6354	-1330	-1345	1912	519	3385	4844	12996	18353	15769	8284	4273	2006	3301	6682	7999	8923	12069	17414	15920	17119	2989	5873	7866	7184	6578	7415	11569	13632	12101	7031	6874	6228	4374	8115	10099	8101	4724	1330	2635	1075	2372	5342	6351	9595	8850	8801	9814	8897	9753	6833	6156	9481	3614
Spokane	53	53063	4	-3672	-2218	-4366	-3259	-2855	-2269	-4036	683	2100	5460	2063	2996	1035	2762	-1481	4883	5885	2364	8048	4957	2284	-2959	-3385	-854	1102	-3625	-3885	-1461	999	6161	1980	2570	3566	4762	5071	4193	4322	2656	2911	2372	3223	3905	-1750	1302	4590	6426	4968	4070	4102	2714	1327	2202	3925	3954	4406	5202	7401	9534	7796	7136	2492	8651	3484	4450
Stevens	53	53065	4	-65	-143	-648	-135	25	-72	193	-249	-249	-91	99	722	713	381	1346	1536	1186	1163	1441	1277	20	8	36	150	-18	-315	-38	-245	-67	-33	560	572	759	819	1156	824	753	709	745	817	206	161	316	274	379	515	308	433	225	-14	238	163	150	320	232	230	283	463	570	402	387	550	412	383
Thurston	53	53067	4	908	1406	480	955	1665	1682	2609	2709	2958	-283	1230	837	866	4707	2841	4692	4127	8359	4703	7478	2771	1892	1436	1607	1661	2427	2270	2411	4772	3945	5233	3487	3424	3433	3615	2976	3034	2986	3824	3189	1669	3228	3258	3834	5285	3899	4453	4236	3144	1650	1657	2314	3082	3788	2750	3712	3427	4679	3084	4579	2508	2725	2953	3444
Wahkiakum	53	53069	4	48	-36	-206	-2	71	-31	208	-308	89	184	-4	77	-106	-20	92	-59	9	76	-22	12	-91	7	-66	-26	-168	-82	-8	-54	0	-30	26	21	77	70	55	83	43	48	83	72	26	12	46	19	52	55	68	66	24	-13	54	57	16	66	60	68	71	78	111	88	77	80	64	37
Walla Walla	53	53071	4	-576	-129	-972	-373	-348	-338	621	-842	-451	1012	282	-565	469	190	678	242	463	377	992	1096	-538	269	247	-142	-189	-290	-154	-200	51	-8	176	270	491	504	496	456	638	750	346	548	-234	-59	187	404	649	57	410	174	327	155	-83	283	213	688	482	-33	324	237	401	433	-394	679	682	373
Washington	53	53	0	4215	12977	-12718	3756	28400	35965	79894	82178	33582	-13714	-7226	-28665	-3323	46168	39403	45776	55430	93977	112950	119109	60616	8736	-6345	11505	26547	10114	29846	54684	74032	98263	91074	47452	56723	64854	67496	50678	60634	69055	70142	65819	39500	54855	32881	46683	54029	83534	63311	41492	22307	11541	15766	15854	38225	62868	65780	95441	73265	88432	89836	98169	42543	83675	72356	69092
Whatcom	53	53073	4	394	615	-221	381	1094	1264	2247	1781	399	-534	2453	1785	79	1564	1562	2437	1772	2864	2116	2508	1789	714	258	822	978	8	730	1557	2977	3305	4062	4209	2593	3907	3048	3457	2201	2704	2253	2243	3348	2509	1056	3489	4072	4241	4342	1594	1233	566	296	520	1689	1232	1380	1855	2920	3363	3526	2781	-621	5451	4336	2212
Whitman	53	53075	4	177	60	207	36	292	468	835	1245	-609	563	-111	-152	-134	87	111	-10	-95	40	-11	54	443	-1072	-467	-909	64	-930	-677	-451	56	341	-431	-30	-45	-45	223	-94	393	270	43	-309	-352	307	-270	559	625	156	-255	1038	-252	574	-484	757	-163	131	405	105	168	146	557	3	-3399	3187	187	598
Yakima	53	53077	4	-1899	-2025	-3018	-2222	-1434	-1251	81	-177	-2931	400	732	-1092	-2	2869	2456	1182	1799	2335	1448	2545	30	-88	407	-51	-338	-1165	-559	-410	-511	536	159	735	651	1161	1443	865	535	703	1280	591	-894	-1797	870	-370	-499	146	-198	-153	-391	-1078	-1251	-1360	-920	-798	-1131	-316	-150	-605	-598	502	483	1076	232	1144
