country_code	name	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023
53	Washington	0.0196394830890552	0.00982111335033544	0.011470378202775	0.0128055608789639	0.0130701951191793	0.00957972681585021	0.0112671622016162	0.0126183162254486	0.0126121703667688	0.011649024569771	0.0067467824340927	0.00927294418424263	0.00545578243534176	0.00767782978997018	0.00877877613587537	0.0134401386520061	0.00995940148640518	0.00639950249985008	0.00338707079903595	0.00173269506706288	0.00235005701007862	0.00234455574485969	0.00562675599020777	0.00918698656607491	0.00947916652382349	0.0136126891049832	0.010226894515448	0.012188034384095	0.0121833947099079	0.013117798910968	0.00555131528826907	0.0108905027787539	0.00928588185590328	0.00876573098041146
53001	Adams	0.00398175233172587	0.00307606485482858	0.00419218283666447	0.00838553572380408	0.0103008213776192	0.00712308422423826	0.0125224689111195	-0.000454911806248123	0.00427168678749802	0.00256264054481738	0.00317537724550313	0.000419362619142418	-0.00470837335941145	0.0114881221995112	-0.00833522198879191	-0.0149079126510222	-0.00135486239791676	-0.00288712421441073	-0.00605730009436291	0.000217190556532883	-0.0127569806778132	-0.00674500675844408	-0.00528408828131523	-0.00781452519436562	-0.00504972406607286	-0.0011297693663139	0.00888546801223811	-0.00810596953746992	-0.00678532562212216	0.00157612198829562	0.00438531950950689	0.000239291696578129	-0.00382418204995043	-4.71675864346022e-05
53003	Asotin	0.0015804499974303	0.00751160253684152	0.0106015604699045	0.029813919841967	0.0114586081987149	0.0355485460373722	0.0147051841003614	0.0108574007841286	0.00937489676452968	0.00377650729226166	0.00263453098298693	-0.00169204835893547	0.000920855208895036	-0.000723798564350373	0.00605209615318601	0.00920570746151026	0.00996804169522145	0.00323275831777002	0.00330986900377605	0.00148416142351859	-9.2485403722371e-05	0.000923915511437358	0.0028215936842187	0.0023068057135333	0.00451779395383635	0.00713168406161094	0.00332877397697655	0.00446489630187219	0.00499954595032687	0.00612328235693212	0.0143839045928354	0.00797419586058597	0.00721989482128532	0.00738302793097314
53005	Benton	0.00652144216483608	0.00789838940046149	0.0148238006217368	0.0243585187501106	0.0315617622318305	0.0241347533455716	0.0148076435404661	0.0068547710935438	0.00446475010171121	0.0122260842545806	0.0119825545654247	0.0126452531967622	0.0170642358123208	0.0187478671032363	0.0147914722396976	0.0115195055233838	0.00948796253482946	0.00774597480327788	0.0151302238316737	0.0149456993844764	0.00668915494664272	0.00629803611828564	0.0120127874942949	0.0119222257518334	0.00676367055483305	0.004159270560799	0.0100727242251169	0.0154356409282777	0.0148760599760863	0.0154148084141824	0.00912674022692461	0.0109007347616611	0.013060511636119	0.00736710233540884
53007	Chelan	0.0149086109240051	0.0223475018340773	0.0200719916706577	0.0260583113554957	0.0234942261980526	0.0131668167711209	0.0198092784804809	0.0141141335671538	0.0142843512406748	0.00918651137372631	-0.00185795652651431	0.00155707309962634	-0.00300282580700685	0.00310558969293712	0.00866096742383246	0.00845214569124382	0.00687141633849652	0.00857904592544271	-0.000584624663658123	-0.00208748110760476	1.38022357689633e-05	0.00092075982199926	-5.46672088560441e-05	0.0108674612823965	0.00297907960890643	0.00520910278359954	0.00752642144242239	0.0128970623358013	0.0045517030871427	0.0137606324459507	0.0106245763178832	0.00895447092949931	0.011945092725037	0.00948794807639904
53009	Clallam	0.0239090752135188	0.0107825547678067	0.0169386953798779	0.013502491941295	0.0120490959571972	0.018040619805529	0.0115416311514749	0.016539283770334	0.00962952929231206	0.0154019214524498	0.010008966838247	0.0134675958681416	0.0120709396121533	0.0156519593349156	0.0180339629871676	0.022266529023061	0.0164524106282867	0.0154689403450202	0.00980798510101296	0.0090639152067607	0.00884455534330036	0.0119643187656408	0.00904731318218344	0.00767132233310945	0.00965402888452295	0.0126927672684375	0.0142370615164555	0.0137974955257322	0.0188350835434448	0.0166247684818116	0.0141165318388912	0.00797303429052959	0.0160074343603571	0.0149100457570715
53011	Clark	0.0351214369452575	0.0217541761200364	0.0262566337142792	0.0296337397757744	0.0378620520838149	0.0324825815625962	0.0323732256245334	0.0345403365353746	0.0246486888213218	0.0235050729225828	0.0128469541240373	0.0269433800909967	0.0180588927054887	0.022844345867454	0.0167698294810442	0.0181938256704523	0.0120651541227668	0.00776041823877914	0.00410659949298543	-0.00281900238682203	0.00191969096056462	0.00292247830081505	0.00547952854415499	0.0119297372284342	0.0133494451141828	0.0160718125046277	0.0184632275748721	0.0138381045579328	0.0168634361790456	0.0226158248724386	0.0177541953891667	0.0134888231796805	0.010800762224111	0.0149138843452324
53013	Columbia	0.000805065255906093	0.000259881878488589	-0.000764380870604332	0.00239980801535877	0.00438514643709288	-0.000452234433808142	0.00155807860417525	0.00187151051016909	0.00259114286124831	0.00917753646644506	0.015746130388457	0.00219244502931299	0.000486262950094104	0.00710435364590529	0.00659341947432376	0.000726040658276864	-0.00649819025401426	0.00441501645206825	-0.000731351630450947	-0.00219191907629608	0.00418617959892459	-0.00245157946684521	0.00024764716618586	-0.00468442161076549	0.00831234256926952	-0.000249501433759989	0.00301658670198084	0.00429076549023131	0.00176633684952122	0.00303797622176011	0.00713555775851743	0.0130802769941011	0.00355691056910569	0.0115236875800256
53015	Cowlitz	0.0011204032686368	0.00500619516651857	0.0069483574298632	0.00836571830043128	0.010796810450588	0.0110401643887539	0.00787531805637196	0.00873572618502945	0.00850450853284376	0.00945999520500667	0.00837528007012497	0.00480609874706608	0.0080663140713225	0.0058029714277847	0.00826713958880438	0.0121344625284896	0.00981331398089391	0.00804410588276812	0.00301273288585722	-0.000420669434162827	0.000654661791410077	0.00170640167607258	0.0027037806926522	0.00507052236958565	0.0060045256138559	0.00535796666509353	0.00905497088085044	0.0122936784650294	0.0137414069061866	0.0130670522627135	0.0081394078444226	0.0112920048977371	0.00666630826299662	0.00916284137389036
53017	Douglas	0.04936555488672	-0.0176241531962345	0.0190071286914984	0.0103694812967914	0.0123261447327486	0.0156773039496529	0.0123762891030218	0.0220563989843448	0.013124034472075	0.0106207126027538	0.000306814158368878	-0.00464058600713485	0.0152263948721208	0.00669228039454444	0.0103283086558192	0.0226085998307204	0.0159379690809695	0.0169301847592462	0.0127002312475511	0.0043303770324618	0.00041650458781105	0.0013203891357657	0.00213449982291367	0.00257863575258557	0.00551601353380611	0.00763128223272278	0.00713114346767381	0.00659750227883616	0.0101329210830124	0.0149041731492195	0.0114482184828896	0.0076819843583692	0.00838795434752716	0.0120306565691024
